OriginalID,OriginalTraitName,OriginalTraitDef,StandardisedTraitName,StandardisedTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,originalerrorunit,StandardisedTraitValue,StandardisedTraitUnit,,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Bioname,Interactor1Stage,interactor1sex,Interactor1Temp,Interactor1TempUnit,interactor1growthtemp,interactor1growthtempunit,figuretable,citation,doi,notes
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,1.0000 ,millimeter / (1 individual * 1 day),0.08,0.08,,1.16E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,11.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,1.9000 ,millimeter / (1 individual * 1 day),0.02,0.02,,2.20E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,15.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,3.8000 ,millimeter / (1 individual * 1 day),0.06,0.06,,4.40E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,20.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.1000 ,millimeter / (1 individual * 1 day),0.04,0.04,,4.75E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,25.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,3.3000 ,millimeter / (1 individual * 1 day),0.08,0.08,,3.82E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,28.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,3.2000 ,millimeter / (1 individual * 1 day),0.03,0.03,,3.70E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,30.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,2.6000 ,millimeter / (1 individual * 1 day),0.06,0.06,,3.01E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,32.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.2000 ,millimeter / (1 individual * 1 day),0.05,0.05,,2.31E-09,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,35.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2203,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.0000 ,millimeter / (1 individual * 1 day),0,0,,0,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,37.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.0000 ,millimeter / (1 individual * 1 day),0,0,,0,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,8.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.6000 ,millimeter / (1 individual * 1 day),0.07,0.07,,6.94E-09,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,11.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,1.4000 ,millimeter / (1 individual * 1 day),0.05,0.05,,1.62E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,15.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,3.6000 ,millimeter / (1 individual * 1 day),0.09,0.09,,4.17E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,20.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.3000 ,millimeter / (1 individual * 1 day),0.06,0.06,,4.98E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,25.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.7000 ,millimeter / (1 individual * 1 day),0.07,0.07,,5.44E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,28.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.5000 ,millimeter / (1 individual * 1 day),0.09,0.09,,5.21E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,30.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,3.1000 ,millimeter / (1 individual * 1 day),0.03,0.03,,3.59E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,32.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,1.2000 ,millimeter / (1 individual * 1 day),0.04,0.04,,1.39E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,35.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2204,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.0000 ,millimeter / (1 individual * 1 day),0,0,,0,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,37.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.3000 ,millimeter / (1 individual * 1 day),0.08,0.08,,3.47E-09,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,8.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,0.5000 ,millimeter / (1 individual * 1 day),0.05,0.05,,5.79E-09,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,11.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,1.3000 ,millimeter / (1 individual * 1 day),0.02,0.02,,1.50E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,15.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,3.3000 ,millimeter / (1 individual * 1 day),0.13,0.13,,3.82E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,20.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.0000 ,millimeter / (1 individual * 1 day),0.02,0.02,,4.63E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,25.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.3000 ,millimeter / (1 individual * 1 day),0.08,0.08,,4.98E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,28.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
MTD2205,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,Radial Growth Rate,Increase in diameter of a circular colony growing on a 2 dimensional surface,4.1000 ,millimeter / (1 individual * 1 day),0.14,0.14,,4.75E-08,meter / (individual * second),,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,anisopliae,Metarhizium anisopliae,adult,,30.00 ,celsius,,,Table 2,"Ouedraogo, A., Fargues, J., Goettel, M. S. & Lomer, C. J. 1997. Effect of temperature on vegetative growth among isolates of Metarhizium anisopliae and M-flavoviride. Mycopathologia 137, 37-43.",http://dx.doi.org/10.1023/a:1006882621776,
